file: 0000.jpg; corr: -1.0000000000; position: (54, 0); grid: (0, 0);
file: 0001.jpg; corr: 0.8111463391; position: (1765, 14); grid: (1, 0);
file: 0002.jpg; corr: 3.8570407149; position: (3482, 31); grid: (2, 0);
file: 0003.jpg; corr: 3.8774795631; position: (5201, 47); grid: (3, 0);
file: 0004.jpg; corr: 3.8787488695; position: (6918, 64); grid: (4, 0);
file: 0005.jpg; corr: 3.8304745610; position: (8638, 81); grid: (5, 0);
file: 0006.jpg; corr: 3.8386123521; position: (10354, 97); grid: (6, 0);
file: 0007.jpg; corr: 3.9003149920; position: (12073, 113); grid: (7, 0);
file: 0008.jpg; corr: 3.9213154252; position: (13789, 129); grid: (8, 0);
file: 0009.jpg; corr: 3.9076580460; position: (15505, 145); grid: (9, 0);
file: 0010.jpg; corr: 3.8421282136; position: (50, 1269); grid: (0, 1);
file: 0011.jpg; corr: 3.9138163101; position: (1766, 1285); grid: (1, 1);
file: 0012.jpg; corr: 3.8203416148; position: (3485, 1299); grid: (2, 1);
file: 0013.jpg; corr: 3.8785474376; position: (5203, 1315); grid: (3, 1);
file: 0014.jpg; corr: 3.8544688340; position: (6921, 1331); grid: (4, 1);
file: 0015.jpg; corr: 3.8467102701; position: (8641, 1348); grid: (5, 1);
file: 0016.jpg; corr: 3.8503122411; position: (10356, 1364); grid: (6, 1);
file: 0017.jpg; corr: 3.9142387125; position: (12074, 1380); grid: (7, 1);
file: 0018.jpg; corr: 3.9120235336; position: (13790, 1396); grid: (8, 1);
file: 0019.jpg; corr: 3.8693616855; position: (15502, 1413); grid: (9, 1);
file: 0020.jpg; corr: 3.8630513625; position: (46, 2554); grid: (0, 2);
file: 0021.jpg; corr: 3.8511266123; position: (1758, 2571); grid: (1, 2);
file: 0022.jpg; corr: 3.8536572813; position: (3475, 2587); grid: (2, 2);
file: 0023.jpg; corr: 3.9064936075; position: (5193, 2602); grid: (3, 2);
file: 0024.jpg; corr: 3.8606248229; position: (6910, 2619); grid: (4, 2);
file: 0025.jpg; corr: 3.8598175672; position: (8628, 2635); grid: (5, 2);
file: 0026.jpg; corr: 3.8805196239; position: (10345, 2651); grid: (6, 2);
file: 0027.jpg; corr: 3.8920902024; position: (12065, 2665); grid: (7, 2);
file: 0028.jpg; corr: 3.8667302717; position: (13782, 2681); grid: (8, 2);
file: 0029.jpg; corr: 3.8687956042; position: (15498, 2697); grid: (9, 2);
file: 0030.jpg; corr: 3.8327650512; position: (40, 3833); grid: (0, 3);
file: 0031.jpg; corr: 3.8681446477; position: (1756, 3849); grid: (1, 3);
file: 0032.jpg; corr: 3.8372983911; position: (3474, 3867); grid: (2, 3);
file: 0033.jpg; corr: 3.8530872228; position: (5193, 3882); grid: (3, 3);
file: 0034.jpg; corr: 3.8490085069; position: (6911, 3898); grid: (4, 3);
file: 0035.jpg; corr: 3.8779231452; position: (8631, 3914); grid: (5, 3);
file: 0036.jpg; corr: 3.8722032140; position: (10347, 3931); grid: (6, 3);
file: 0037.jpg; corr: 3.8718769951; position: (12065, 3943); grid: (7, 3);
file: 0038.jpg; corr: 3.9474663770; position: (13780, 3959); grid: (8, 3);
file: 0039.jpg; corr: 3.8412935436; position: (15496, 3976); grid: (9, 3);
file: 0040.jpg; corr: 3.8117566549; position: (35, 5116); grid: (0, 4);
